"";"logFC";"logCPM";"F";"PValue";"FDR"
"SPTLC1";0,2288406291211;6,37118806007459;1,62077636168652;0,211846623086377;0,453809685836918
"CRAT";-0,443313020201457;4,18299152450515;1,62049532246343;0,211885313717215;0,453809685836918
"ABR";0,259254118701889;8,71775610075722;1,62007432883273;0,211943288122187;0,453809685836918
"RELL2";0,41866750752197;4,13004603607406;1,61982867817663;0,211977125325822;0,453809685836918
"SNX29";-0,410742221653732;6,63749709160651;1,61966794235938;0,211999269514504;0,453809685836918
"SRGAP2D";0,432262004535736;6,85142441714025;1,61841656061247;0,212171766778815;0,454082727745622
"ZNF131";-0,402293571622304;5,4132534096255;1,61816183742103;0,212206900366087;0,454082727745622
"CELSR3";-0,789871307423074;3,17073403162733;1,61747479860659;0,212301698308764;0,454199879366099
"FLJ31104";-1,24769769504505;3,28020029525058;1,61705460261739;0,21235970284211;0,454238285539865
"CD4";0,260258488324213;8,51424292843239;1,61601976541268;0,21250263664858;0,454415044355422
"CUEDC1";0,568612135620266;5,01309288431988;1,61559719287765;0,212561037276426;0,454415044355422
"RPA3";-0,710813673123225;3,2289112648269;1,61548507867214;0,212576535069057;0,454415044355422
"PLA2G6";0,542950717307989;4,35668315766925;1,61470116527909;0,212684936017911;0,454415044355422
"FKBP1A";0,379893871359176;6,48557031065766;1,61459585286474;0,212699503992755;0,454415044355422
"KTN1";-0,236113612244083;7,67854216711456;1,61443088157028;0,212722327111918;0,454415044355422
"ARL11";0,557355341142519;4,09889817892451;1,61442733893465;0,212722817254469;0,454415044355422
"SHROOM4";-1,02953845188944;3,12362952795157;1,61349785164667;0,212851464845017;0,454604230283867
"ANXA1";-0,733344183606425;6,58762130319555;1,61319417914174;0,212893516022184;0,454608428771906
"REXO4";-0,441591804950931;4,19324894461863;1,61249702901755;0,212990092888399;0,45472292879283
"FAM174A";-0,597869789050429;3,62423735231581;1,61222835140684;0,213027327455807;0,45472292879283
"TCAIM";0,463099024821017;4,32097881907119;1,61119578326748;0,213170500086054;0,454898176447569
"AGFG1";-0,32659282468845;6,43105875545905;1,61078351569883;0,213227696908857;0,454898176447569
"MBOAT1";0,736587335323611;3,07349048352967;1,61041148972956;0,213279326954615;0,454898176447569
"AOAH";0,308331240204099;7,01682529036508;1,61038546829735;0,213282938804899;0,454898176447569
"SERTAD3";-0,346683493929447;5,37543043780829;1,61019065614848;0,213309981690166;0,454898176447569
"PDIA3P1";0,283994727889169;5,4749934764089;1,60978341113933;0,213366527128904;0,454900430024508
"TRIM44";0,233417829638033;6,64436449805674;1,60927913427707;0,213436570906439;0,454900430024508
"GALNT18";-1,22022598856293;3,33995019106836;1,6092089567462;0,213446320772031;0,454900430024508
"COTL1";0,320333229482999;8,4210173189005;1,60900913130094;0,213474085815212;0,454900430024508
"PIK3R3";-0,802246785129185;4,70800661480414;1,60873923422594;0,213511594129306;0,454900430024508
"HMG20A";0,299953275002718;5,39145495059929;1,60732303372651;0,213708540423129;0,455229130933861
"ZC3H6";0,420402430777799;5,27246400860577;1,60705275160882;0,213746153092568;0,455229130933861
"TMBIM6";-0,19595142517102;9,40771450018992;1,6057245725324;0,213931102112349;0,455399803167078
"RSC1A1";0,460327012103321;4,24406809120874;1,60553342357761;0,213957735848601;0,455399803167078
"MSTO2P";0,855559526987862;3,7962785405304;1,60518120610852;0,2140068227675;0,455399803167078
"TRIM62";0,507710728444441;3,4699346586732;1,60507500330231;0,214021626484787;0,455399803167078
