"";"logFC";"logCPM";"F";"PValue";"FDR"
"SPINT2";0,0551904670770227;6,16752700079192;0,0665765969741149;0,797984549725659;0,902269105689518
"PNPLA6";-0,0561507833827127;7,32889656124001;0,0665482351784269;0,798026610432612;0,902269105689518
"RBM4";0,0579536130621055;6,46265709999895;0,0665262648947703;0,798059199072882;0,902269105689518
"NIF3L1";0,116032090751084;3,53958589032667;0,0664563380094651;0,798162960285826;0,902269105689518
"H2AFJ";-0,0751343861650987;5,88835710241362;0,0664266497750124;0,798207030895241;0,902269105689518
"FYCO1";-0,0678918001143596;5,03868030966328;0,0663244144623371;0,798358874343686;0,902350806650562
"SIRPB1";0,237732395543833;4,62675819295216;0,0660963052026074;0,798698121400295;0,902583098345328
"P3H2";-0,088782337160064;4,8397007633182;0,0659577767501469;0,798904447911025;0,902583098345328
"RNFT1";0,106950607923954;5,07648224450028;0,0659317245646894;0,798943276295916;0,902583098345328
"MED11";-0,0811096461883461;3,91415615059215;0,0659007157231699;0,798989502799315;0,902583098345328
"TP53BP1";0,0544533683660429;5,66634255207934;0,0659003020099744;0,798990119621726;0,902583098345328
"RPF2";0,0964632946254683;4,39906446299029;0,0658151679498988;0,799117093586046;0,902583098345328
"CTNNBL1";-0,0620084780137964;5,15075401512958;0,0657898934766884;0,799154806305122;0,902583098345328
"NPDC1";0,200032880626463;3,50539245241973;0,0657154200304785;0,799265975121362;0,902583098345328
"GFPT1";-0,075432942081076;5,50765376714898;0,065695923999285;0,799295088555458;0,902583098345328
"BTBD2";-0,0774276712024737;5,70781780579566;0,0656522967064977;0,799360253926503;0,902583098345328
"YIPF6";0,0672922662285261;5,30851897298884;0,0654408706308926;0,799676385474993;0,902850163033539
"POLR3A";0,0832163086012029;4,575034249666;0,0653397464200609;0,799827782572432;0,902931204673895
"KLHL36";0,0522317498779685;6,05222329377918;0,065219437074548;0,800008065449162;0,903044836295307
"LSM6";-0,129881060322791;3,25016373478818;0,0650536211786455;0,800256830673983;0,903235740114813
"PLXNA1";-0,127135034436307;7,09595115767888;0,0649953471853778;0,800344336520625;0,903244613442174
"ESAM";0,187364584779277;4,64068685575935;0,0649295387594573;0,800443206611421;0,90326630907265
"TMEM97";0,158665733386911;3,24774046498602;0,0648256088666136;0,800599459031951;0,903352747476008
"CTU1";0,177629454329288;2,60959854519074;0,0647103142194668;0,800772954080975;0,90343110148055
"IL27RA";0,138368359979046;3,57887079135853;0,0646547153772021;0,800856677971042;0,90343110148055
"CINP";0,0957331796173993;3,40975682698491;0,0646207244165919;0,800907882398858;0,90343110148055
"FAM45BP";-0,0946881090919807;4,53657149109071;0,0645492366695226;0,801015619361053;0,903462768689578
"SCAF4";-0,0451274635931862;5,81564361801053;0,0641715055427336;0,80158594514462;0,904016130060176
"SLC25A35";0,110550419865361;3,6765489573629;0,0640911295282517;0,80170753338182;0,904032765484906
"FAM195B";0,0727091404661071;5,27036297874212;0,0639790004079642;0,8018772917434;0,904032765484906
"TRAF4";0,152294746624637;3,96677831105487;0,0639600576443788;0,801905985871967;0,904032765484906
"SAT2";-0,0581603586838674;5,80569403918772;0,0639154313929842;0,801973602752555;0,904032765484906
"ATP11C";-0,060884519389247;5,28973582392616;0,0638984996217404;0,801999264045819;0,904032765484906
"TES";0,0861278015134844;4,27104760992921;0,0636739082604118;0,802339991440487;0,904326957158275
"LYPLA1";0,0705330660199577;5,28008250884965;0,0636089155461276;0,802438711253106;0,904348347840751
"SLC41A3";0,0639645410329244;4,70701205597712;0,0634059671206118;0,802747323368481;0,904366559870387
"HSP90B1";-0,0941835062186251;9,77514942686288;0,063397308330354;0,802760501992058;0,904366559870387
"CHD3";-0,0737427851623037;6,70006708448557;0,0633962707514624;0,802762081244835;0,904366559870387
"LINC00623";0,161977643668329;3,22494847069311;0,0633494634788431;0,802833338839952;0,904366559870387
"APOA1BP";0,0946699721160959;4,30660609921745;0,063336166657248;0,802853586524562;0,904366559870387
"MRPL55";0,118006104453578;3,79640221266143;0,0632141324604566;0,803039519458698;0,904486164483176
"APEX1";0,0737847105028088;7,06980696500296;0,0631543508104744;0,803130673333036;0,904499003601783
"MFSD7";0,135039825392011;4,14756731717569;0,0629557809538079;0,803433778907683;0,904683289859873
"CDC40";-0,055655525049038;5,21674881121754;0,062942644779317;0,803453848467388;0,904683289859873
"GPR35";0,163583322547634;2,98444171264082;0,0628297640234617;0,803626400634883;0,904787750382231
"GLIDR";-0,144282356969473;3,41222162427743;0,062611580576611;0,803960389304212;0,905073930424763
"SMIM20";0,104712509897369;4,19294251862272;0,0623698158133071;0,804331199777598;0,905200805599242
"PRPSAP1";0,0633237013962646;4,95583275907449;0,0622840774866333;0,804462885937049;0,905200805599242
"SKA2";-0,123964433142122;3,6436546284036;0,0622478024044498;0,804518630149611;0,905200805599242
"RHOG";-0,0589391012898573;6,50344454775687;0,0622421661599289;0,804527292963296;0,905200805599242
"TTC37";0,0497776783791813;6,36371543496475;0,0622271012936094;0,804550449459847;0,905200805599242
"CXorf36";-0,232855356570294;3,7882105538473;0,0622260990307922;0,804551990163157;0,905200805599242
"SOCS5";-0,0543147541348443;5,24903410355198;0,062052872555432;0,804818476800055;0,905410807002225
"CDK5";0,145982259172471;3,00689195461909;0,0617820425501647;0,80523590804375;0,905714947356477
"APBB2";0,151562533663233;3,87534387381914;0,0617143363632428;0,805340415797741;0,905714947356477
"ANKRD36";-0,142652625103121;4,46945012130993;0,0616737633976792;0,805403071335585;0,905714947356477
"MAP3K13";-0,0772712293926217;4,47627418210369;0,0616703945252437;0,805408274763254;0,905714947356477
"LPAR1";0,0990364986908979;4,65376192197216;0,0616067362070208;0,805506627318601;0,905735738689297
"MAPKAP1";0,0443018533222841;5,70036201414166;0,0614814261939734;0,805700390170445;0,905863797454448
"ZNF326";0,0597304471413412;5,24858539897402;0,06142770760442;0,805783517790834;0,905867453931983
"RAPGEF4";-0,180316041817884;3,29131861423712;0,0613304361554982;0,80593414032041;0,905935371857309
"SDC2";-0,13081531823742;3,94264546322939;0,0612855458339848;0,806003694739463;0,905935371857309
"AKAP11";0,0477014472247849;6,51075321946581;0,0611238260050291;0,806254493074417;0,90595501550488
"LOC441155";0,146049490339209;3,39902668298572;0,0611119885471696;0,806272864683646;0,90595501550488
"IARS";-0,0738727657315375;6,12987944460962;0,0610902849747436;0,806306553311061;0,90595501550488
"MCM2";-0,118420374858202;3,65759665766407;0,0610682877663531;0,806340704215348;0,90595501550488
